t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
4620,2.461835,2.459855,2.453866,2.443729,2.429218,2.410039,2.385844,2.356252,2.320881,2.279366,2.231394,2.176725,2.115215,2.046839,1.971696,1.890016,1.802153,1.708574,1.609825,1.506511,1.399276
4680,2.456718,2.454697,2.448590,2.438262,2.423499,2.404021,2.379496,2.349568,2.313874,2.272074,2.223877,2.169064,2.107511,2.039205,1.964253,1.882888,1.795460,1.702422,1.604311,1.501723,1.395288
4740,2.451468,2.449409,2.443187,2.432676,2.417673,2.397910,2.373074,2.342828,2.306831,2.264766,2.216364,2.161425,2.099844,2.031619,1.956867,1.875821,1.788826,1.696327,1.598851,1.496977,1.391319
4800,2.446088,2.443992,2.437662,2.426977,2.411744,2.391710,2.366579,2.336033,2.299753,2.257443,2.208855,2.153809,2.092214,2.024083,1.949537,1.868812,1.782250,1.690287,1.593439,1.492269,1.387353
4860,2.440583,2.438451,2.432017,2.421166,2.405715,2.385424,2.360015,2.329188,2.292643,2.250108,2.201352,2.146215,2.084622,2.016595,1.942264,1.861865,1.775736,1.684309,1.588082,1.487591,1.383354
4920,2.434955,2.432790,2.426257,2.415248,2.399590,2.379057,2.353385,2.322294,2.285504,2.242762,2.193857,2.138646,2.077069,2.009158,1.935050,1.854981,1.769288,1.678389,1.582765,1.482926,1.379389
4980,2.429210,2.427012,2.420386,2.409228,2.393373,2.372611,2.346693,2.315355,2.278339,2.235408,2.186372,2.131103,2.069555,2.001771,1.927892,1.848157,1.762895,1.672516,1.577487,1.478300,1.375412
5040,2.423350,2.421122,2.414407,2.403107,2.387068,2.366090,2.339941,2.308375,2.271149,2.228048,2.178898,2.123588,2.062083,1.994436,1.920795,1.841397,1.756569,1.666709,1.572264,1.473687,1.371366
5100,2.417380,2.415124,2.408325,2.396892,2.380679,2.359499,2.333135,2.301356,2.263940,2.220686,2.171439,2.116103,2.054655,1.987157,1.913761,1.834704,1.750307,1.660955,1.567070,1.469071,1.367332
5160,2.411306,2.409023,2.402145,2.390586,2.374211,2.352842,2.326277,2.294303,2.256713,2.213325,2.163998,2.108650,2.047271,1.979932,1.906785,1.828069,1.744096,1.655236,1.561891,1.464466,1.363374
