t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_surface
147960.000000,0.173323,0.172893,0.171597,0.169416,0.166317,0.162244,0.157112,0.150782,0.143027,0.133432,0.121128,0.103660,0.054941,nan,nan,nan,nan,nan,nan,nan,0.054158
148020.000000,0.173272,0.172842,0.171546,0.169367,0.166269,0.162198,0.157068,0.150741,0.142990,0.133399,0.121100,0.103638,0.054937,nan,nan,nan,nan,nan,nan,nan,0.054154
148080.000000,0.173220,0.172791,0.171496,0.169317,0.166221,0.162152,0.157024,0.150700,0.142952,0.133365,0.121071,0.103617,0.054932,nan,nan,nan,nan,nan,nan,nan,0.054149
148140.000000,0.173169,0.172739,0.171445,0.169267,0.166172,0.162105,0.156980,0.150660,0.142915,0.133332,0.121043,0.103595,0.054928,nan,nan,nan,nan,nan,nan,nan,0.054145
148200.000000,0.173117,0.172688,0.171394,0.169218,0.166124,0.162059,0.156937,0.150619,0.142877,0.133299,0.121015,0.103573,0.054923,nan,nan,nan,nan,nan,nan,nan,0.054141
148260.000000,0.173066,0.172637,0.171344,0.169168,0.166076,0.162013,0.156893,0.150578,0.142840,0.133266,0.120987,0.103552,0.054919,nan,nan,nan,nan,nan,nan,nan,0.054137
148320.000000,0.173014,0.172586,0.171293,0.169119,0.166028,0.161967,0.156849,0.150537,0.142803,0.133232,0.120958,0.103530,0.054914,nan,nan,nan,nan,nan,nan,nan,0.054133
148380.000000,0.172963,0.172534,0.171243,0.169069,0.165980,0.161921,0.156806,0.150496,0.142765,0.133199,0.120930,0.103509,0.054909,nan,nan,nan,nan,nan,nan,nan,0.054129
148440.000000,0.172912,0.172483,0.171192,0.169020,0.165932,0.161875,0.156762,0.150456,0.142728,0.133166,0.120902,0.103487,0.054905,nan,nan,nan,nan,nan,nan,nan,0.054125
148500.000000,0.172860,0.172432,0.171142,0.168971,0.165885,0.161829,0.156719,0.150415,0.142691,0.133133,0.120874,0.103465,0.054900,nan,nan,nan,nan,nan,nan,nan,0.054121
148560.000000,0.172809,0.172381,0.171092,0.168921,0.165837,0.161783,0.156675,0.150374,0.142654,0.133100,0.120846,0.103444,0.054896,nan,nan,nan,nan,nan,nan,nan,0.054117
148620.000000,0.172758,0.172330,0.171041,0.168872,0.165789,0.161738,0.156632,0.150334,0.142617,0.133067,0.120818,0.103422,0.054891,nan,nan,nan,nan,nan,nan,nan,0.054113
148680.000000,0.172707,0.172280,0.170991,0.168823,0.165741,0.161692,0.156588,0.150293,0.142579,0.133034,0.120790,0.103401,0.054887,nan,nan,nan,nan,nan,nan,nan,0.054108
148740.000000,0.172656,0.172229,0.170941,0.168774,0.165694,0.161646,0.156545,0.150253,0.142542,0.133001,0.120762,0.103379,0.054882,nan,nan,nan,nan,nan,nan,nan,0.054104
148800.000000,0.172605,0.172178,0.170891,0.168725,0.165646,0.161600,0.156502,0.150212,0.142505,0.132968,0.120734,0.103358,0.054878,nan,nan,nan,nan,nan,nan,nan,0.054100
148860.000000,0.172554,0.172127,0.170841,0.168676,0.165599,0.161555,0.156458,0.150172,0.142468,0.132935,0.120706,0.103336,0.054873,nan,nan,nan,nan,nan,nan,nan,0.054096
148920.000000,0.172503,0.172077,0.170791,0.168627,0.165551,0.161509,0.156415,0.150132,0.142431,0.132902,0.120678,0.103315,0.054869,nan,nan,nan,nan,nan,nan,nan,0.054092
148980.000000,0.172452,0.172026,0.170741,0.168578,0.165504,0.161464,0.156372,0.150091,0.142394,0.132869,0.120650,0.103294,0.054864,nan,nan,nan,nan,nan,nan,nan,0.054088
149040.000000,0.172402,0.171975,0.170691,0.168529,0.165456,0.161418,0.156329,0.150051,0.142358,0.132836,0.120622,0.103272,0.054860,nan,nan,nan,nan,nan,nan,nan,0.054084
149100.000000,0.172351,0.171925,0.170641,0.168480,0.165409,0.161373,0.156286,0.150011,0.142321,0.132803,0.120594,0.103251,0.054855,nan,nan,nan,nan,nan,nan,nan,0.054080
149160.000000,0.172300,0.171874,0.170591,0.168431,0.165361,0.161327,0.156243,0.149971,0.142284,0.132771,0.120566,0.103230,0.054851,nan,nan,nan,nan,nan,nan,nan,0.054076
149220.000000,0.172250,0.171824,0.170541,0.168382,0.165314,0.161282,0.156200,0.149930,0.142247,0.132738,0.120538,0.103208,0.054846,nan,nan,nan,nan,nan,nan,nan,0.054072
149280.000000,0.172199,0.171774,0.170491,0.168334,0.165267,0.161236,0.156157,0.149890,0.142210,0.132705,0.120510,0.103187,0.054842,nan,nan,nan,nan,nan,nan,nan,0.054068
149340.000000,0.172149,0.171723,0.170442,0.168285,0.165220,0.161191,0.156114,0.149850,0.142174,0.132672,0.120483,0.103166,0.054837,nan,nan,nan,nan,nan,nan,nan,0.054064
149400.000000,0.172098,0.171673,0.170392,0.168236,0.165173,0.161146,0.156071,0.149810,0.142137,0.132640,0.120455,0.103144,0.054833,nan,nan,nan,nan,nan,nan,nan,0.054060
