scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48.5_hm1,48.5,1,1.9,0.09571599158,False,
T48.5_hm1,48.5,1,1.92,0.09255198056,False,
T48.5_hm1,48.5,1,1.94,0.08874898477,False,
T48.5_hm1,48.5,1,1.96,0.08386127119,False,
T48.5_hm1,48.5,1,1.98,0.07656371934,False,
T48.5_hm1,48.5,1,2,0.05237542385,False,
T48.75_hm1,48.75,1,0,0.1500000001,False,
T48.75_hm1,48.75,1,0.02,0.1499963778,False,
T48.75_hm1,48.75,1,0.04,0.1499855098,False,
T48.75_hm1,48.75,1,0.06,0.149967301,False,
T48.75_hm1,48.75,1,0.08,0.1499417808,False,
T48.75_hm1,48.75,1,0.1,0.1499089981,False,
T48.75_hm1,48.75,1,0.12,0.1498689428,False,
T48.75_hm1,48.75,1,0.14,0.1498216025,False,
T48.75_hm1,48.75,1,0.16,0.1497668343,False,
T48.75_hm1,48.75,1,0.18,0.1497047277,False,
T48.75_hm1,48.75,1,0.2,0.1496352847,False,
T48.75_hm1,48.75,1,0.22,0.1495584835,False,
T48.75_hm1,48.75,1,0.24,0.1494742858,False,
T48.75_hm1,48.75,1,0.26,0.1493825416,False,
T48.75_hm1,48.75,1,0.28,0.1492833586,False,
T48.75_hm1,48.75,1,0.3,0.1491767051,False,
T48.75_hm1,48.75,1,0.32,0.1490625468,False,
T48.75_hm1,48.75,1,0.34,0.1489407952,False,
T48.75_hm1,48.75,1,0.36,0.1488113577,False,
T48.75_hm1,48.75,1,0.38,0.1486742946,False,
T48.75_hm1,48.75,1,0.4,0.1485295606,False,
T48.75_hm1,48.75,1,0.42,0.1483771071,False,
T48.75_hm1,48.75,1,0.44,0.148216791,False,
T48.75_hm1,48.75,1,0.46,0.1480485789,False,
T48.75_hm1,48.75,1,0.48,0.1478724806,False,
T48.75_hm1,48.75,1,0.5,0.1476884346,False,
T48.75_hm1,48.75,1,0.52,0.1474963757,False,
T48.75_hm1,48.75,1,0.54,0.1472961002,False,
T48.75_hm1,48.75,1,0.56,0.1470876361,False,
T48.75_hm1,48.75,1,0.58,0.1468709379,False,
T48.75_hm1,48.75,1,0.6,0.1466459248,False,
T48.75_hm1,48.75,1,0.62,0.1464125032,False,
T48.75_hm1,48.75,1,0.64,0.1461704241,False,
T48.75_hm1,48.75,1,0.66,0.1459197565,False,
T48.75_hm1,48.75,1,0.68,0.1456604004,False,
T48.75_hm1,48.75,1,0.7,0.1453922509,False,
T48.75_hm1,48.75,1,0.72,0.1451151446,False,
T48.75_hm1,48.75,1,0.74,0.144828883,False,
T48.75_hm1,48.75,1,0.76,0.1445334734,False,
T48.75_hm1,48.75,1,0.78,0.1442287867,False,
T48.75_hm1,48.75,1,0.8,0.1439146868,False,
T48.75_hm1,48.75,1,0.82,0.1435909262,False,
T48.75_hm1,48.75,1,0.84,0.143257359,False,
T48.75_hm1,48.75,1,0.86,0.1429139189,False,
T48.75_hm1,48.75,1,0.88,0.1425604379,False,
T48.75_hm1,48.75,1,0.9,0.1421967388,False,
T48.75_hm1,48.75,1,0.92,0.1418224695,False,
T48.75_hm1,48.75,1,0.94,0.1414375393,False,
T48.75_hm1,48.75,1,0.96,0.1410417899,False,
T48.75_hm1,48.75,1,0.98,0.1406350006,False,
T48.75_hm1,48.75,1,1,0.1402169378,False,
T48.75_hm1,48.75,1,1.02,0.1397871136,False,
T48.75_hm1,48.75,1,1.04,0.1393454963,False,
T48.75_hm1,48.75,1,1.06,0.1388918077,False,
T48.75_hm1,48.75,1,1.08,0.1384257524,False,
T48.75_hm1,48.75,1,1.1,0.1379469533,False,
T48.75_hm1,48.75,1,1.12,0.1374549288,False,
T48.75_hm1,48.75,1,1.14,0.1369495208,False,
T48.75_hm1,48.75,1,1.16,0.1364303497,False,
T48.75_hm1,48.75,1,1.18,0.1358970102,False,
T48.75_hm1,48.75,1,1.2,0.1353489228,False,
T48.75_hm1,48.75,1,1.22,0.1347855956,False,
T48.75_hm1,48.75,1,1.24,0.1342066873,False,
T48.75_hm1,48.75,1,1.26,0.1336116631,False,
T48.75_hm1,48.75,1,1.28,0.1329999481,False,
T48.75_hm1,48.75,1,1.3,0.1323706605,False,
T48.75_hm1,48.75,1,1.32,0.1317232659,False,
T48.75_hm1,48.75,1,1.34,0.1310571399,False,
T48.75_hm1,48.75,1,1.36,0.1303714961,False,
T48.75_hm1,48.75,1,1.38,0.1296654799,False,
T48.75_hm1,48.75,1,1.4,0.128937727,False,
